tm_Vol,tm_Clo,bel_Vol,bel_Clo,nmdc_Vol,nmdc_Clo,ongc_Vol,ongc_Clo,hdfc_Vol,hdfc_Clo
9215459,336.83709716796875,2590929,12.10151482,4671600,124.9499969,5722174,192.86666870117188,6345196,323.625
6661518,329.911376953125,2565585,11.93181801,2950116,123.6500015,4587094,185.96665954589844,8838268,316.9750061035156
5971621,330.5050048828125,6399855,11.91515064,2435500,124.75,4640854,188.46665954589844,7751560,314.6000061035156
5795207,327.8336486816406,7690221,11.83888817,1654940,123.25,3781701,191.46665954589844,6069608,321.3999938964844
4927964,331.494384765625,154836,11.65050507,2582314,123.9000015,5367991,186.46665954589844,4216044,321.125
6614676,333.2752990722656,1310463,11.60505009,4721693,122.1500015,2755558,188.63333129882807,5494808,325.25
9417331,345.4447631835937,847638,11.63737297,3538252,122.6999969,6738154,199.46665954589844,14640452,341.6000061035156
11725374,334.7593688964844,18833760,10.95403957,4090973,123.75,9888612,193.0,12363076,329.5249938964844
3980816,330.30712890625,860607,10.94393921,1887916,122.4000015,4111156,183.76666259765625,6992620,320.9750061035156
8949693,333.52264404296875,1453122,10.89191914,2800197,123.9000015,6857767,183.0,9087594,319.2250061035156
9778598,340.4483642578125,1931193,11.060606,2393319,125.0999985,7330812,186.3000030517578,10490460,310.29998779296875
4884351,339.9041748046875,1951983,11.15404034,3887833,127.0999985,8012659,184.63333129882807,11291220,310.57501220703125
3361138,336.4908142089844,2094444,11.01010132,1692583,126.75,5232852,182.93333435058597,8204346,304.45001220703125
3529492,328.9714660644531,1163250,10.98030281,1684956,120.0999985,5936838,178.56666564941406,8531214,296.5249938964844
5084572,332.0880126953125,6088599,10.95252514,2978970,119.0500031,7334262,174.86666870117188,6498554,305.82501220703125
8317379,342.2787170410156,839223,11.02828217,3636581,124.1500015,4466353,177.6666717529297,4886456,318.1000061035156
12392631,346.335205078125,6540633,10.95909023,1821962,124.1500015,5454891,176.46665954589844,6814188,320.2250061035156
5579954,344.2080383300781,5647950,10.90757465,1721352,123.0,2733444,177.39999389648438,4961000,317.1499938964844
7376181,346.82989501953125,1707750,10.97070694,2335945,123.0,3566788,179.1999969482422,5884074,316.32501220703125
8902894,350.441162109375,3696759,10.93939304,2966592,127.1500015,3509895,182.46665954589844,4334380,324.57501220703125
12500036,367.70599365234375,1168596,11.10000038,4391793,130.8999939,3322923,182.46665954589844,4172642,320.5249938964844
18217505,381.2111206054688,1986831,11.00454521,1743862,130.0500031,4150720,184.36666870117188,6695132,330.6499938964844
7250344,386.3064880371094,1964556,11.0,3063159,129.8000031,2132559,183.6666717529297,6187860,333.75
8382534,384.7234497070313,3137508,10.91515064,1927709,129.0,3451380,183.46665954589844,8071662,326.2250061035156
10044506,369.4374084472656,830313,10.85656548,3077177,130.25,5994730,187.3999938964844,7275794,327.1000061035156
7006105,375.62109375,2185029,11.01515102,2103831,130.8999939,4757653,189.0333404541016,10640592,338.29998779296875
6983295,376.016845703125,1238589,11.11060619,2890928,135.0500031,3715660,190.1666717529297,5612712,335.625
5220688,375.9673767089844,5888025,11.12070656,3101390,134.1499939,3187954,190.6999969482422,4379048,334.5
6433606,370.6741638183594,2642112,11.04090881,5876628,136.5,3179580,188.1666717529297,6772478,330.1000061035156
7415137,375.2748107910156,2404809,10.90505028,12040281,139.9499969,3710749,189.1999969482422,6160964,334.6499938964844
2997007,372.2571716308594,1524798,10.76868629,6390281,135.1999969,3787132,189.3000030517578,4473436,336.2749938964844
3457771,373.59283447265625,932085,10.82575703,6904743,135.0500031,3019206,191.1999969482422,4191044,333.95001220703125
5728430,377.599853515625,985842,10.85404015,3728708,135.6000061,3882574,193.73333740234372,7611458,343.25
5382081,375.5716247558594,653004,10.88484764,791473,135.1000061,2414824,192.3999938964844,5094336,339.67498779296875
9207354,377.1051635742188,2375703,10.78535271,3686235,138.8000031,10221877,195.8000030517578,9097778,340.3999938964844
4537774,380.5185546875,4802292,10.80000019,2204640,140.5,3407955,191.86666870117188,7821222,341.8999938964844
